Date,Actual,Forecast
2023-05-04,163.9197540283203,164.77905
2023-05-05,171.612060546875,164.80643
2023-05-08,171.54283142089844,165.4475
2023-05-09,169.83233642578125,166.31604
2023-05-10,171.60214233398438,167.07065
2023-05-11,171.78997802734375,167.88864
2023-05-12,170.8593292236328,168.66487
2023-05-15,170.3642578125,169.2374
2023-05-16,170.3642578125,169.58192
2023-05-17,170.97813415527344,169.75072
2023-05-18,173.31472778320312,169.85202
2023-05-19,173.4236602783203,170.1355
2023-05-22,172.47314453125,170.48822
2023-05-23,169.8593292236328,170.7496
2023-05-24,170.1365509033203,170.66414
2023-05-25,171.27516174316406,170.42644
2023-05-26,173.6909637451172,170.2277
2023-05-30,175.5424346923828,170.31027
2023-05-31,175.49290466308594,170.72864
2023-06-01,178.3047637939453,171.29459
2023-06-02,179.15623474121094,172.19978
2023-06-05,177.7998046875,173.28981
2023-06-06,177.43350219726565,174.2391
2023-06-07,176.0572509765625,174.98526
2023-06-08,178.7799835205078,175.38626
2023-06-09,179.1661376953125,175.83054
2023-06-12,181.9680633544922,176.26083
2023-06-13,181.4928436279297,176.92963
2023-06-14,182.1264953613281,177.59746
2023-06-15,184.1660919189453,178.27245
2023-06-16,183.08688354492188,179.09311
2023-06-20,183.17596435546875,179.78285
2023-06-21,182.13638305664062,180.34361
2023-06-22,185.1462707519531,180.65321
2023-06-23,184.82943725585938,181.10289
2023-06-26,183.4334259033203,181.5203
2023-06-27,186.19575500488284,181.72983
2023-06-28,187.3739471435547,182.09773
2023-06-29,187.71058654785156,182.61613
2023-06-30,192.0471649169922,183.19788
2023-07-03,190.5521545410156,184.21982
2023-07-05,189.4333343505859,185.20306
2023-07-06,189.9085845947266,185.96573
2023-07-07,188.7897644042969,186.57812
2023-07-10,186.74031066894534,186.90541
2023-07-11,186.21554565429688,186.81206
2023-07-12,187.8888092041016,186.42946
2023-07-13,188.65116882324222,186.08243
2023-07-14,188.79969787597656,185.84654
2023-07-17,192.06698608398438,185.7084
2023-07-18,191.80950927734378,185.99286
2023-07-19,193.16596984863284,186.44675
2023-07-20,191.21548461914062,187.114
2023-07-21,190.0373077392578,187.62642
2023-07-24,190.8392791748047,187.8918
2023-07-25,191.7006378173828,188.07564
2023-07-26,192.57189941406247,188.26817
2023-07-27,191.3046112060547,188.52657
2023-07-28,193.88873291015625,188.65323
2023-07-31,194.50259399414065,188.97734
2023-08-01,193.6708984375,189.42401
2023-08-02,190.67095947265625,189.80652
2023-08-03,189.27493286132812,189.80176
2023-08-04,180.1859588623047,189.44392
2023-08-07,177.07704162597653,187.94365
2023-08-08,178.0176544189453,185.66013
2023-08-09,176.4235992431641,183.2428
2023-08-10,176.20578002929688,180.78809
2023-08-11,176.26527404785156,178.54706
2023-08-14,177.92095947265625,176.67313
2023-08-15,175.9281768798828,175.39551
2023-08-16,175.0557403564453,174.39825
2023-08-17,172.5077667236328,173.6214
2023-08-18,172.99356079101562,172.81268
2023-08-21,174.33197021484375,172.15375
2023-08-22,175.71006774902344,171.79424
2023-08-23,179.56671142578125,171.79385
2023-08-24,174.8673553466797,172.41785
2023-08-25,177.07824707031247,172.84248
2023-08-28,178.64469909667972,173.39862
2023-08-29,182.54098510742188,174.12411
2023-08-30,186.0407257080078,175.27913
2023-08-31,186.25881958007812,176.91743
2023-09-01,187.8351898193359,178.68422
2023-09-05,188.0731201171875,180.5258
2023-09-06,181.3413391113281,182.23724
2023-09-07,176.03726196289062,182.97275
2023-09-08,176.65191650390625,182.53383
2023-09-11,177.82180786132815,181.51929
2023-09-12,174.7880401611328,180.34143
2023-09-13,172.7159881591797,178.82704
2023-09-14,174.2328643798828,177.06306
2023-09-15,173.5091094970703,175.49721
2023-09-18,176.4437255859375,174.11058
2023-09-19,177.53428649902344,173.29259
2023-09-20,173.9849853515625,172.99677
2023-09-21,172.43836975097656,172.68068
2023-09-22,173.2909698486328,172.27228
2023-09-25,174.56991577148438,171.95822
